"Business Name","Slug","NFC URL","Google Review URL"
"Jennifer McMullen Hair - Owner of THE FOX HAIR STUDIO","jennifer-mcmullen-hair-owner-of-the-fox-hair-studio","https://connorgorman.ca/r/jennifer-mcmullen-hair-owner-of-the-fox-hair-studio","https://search.google.com/local/writereview?placeid=ChIJCx4CO0yr0kwRbkA3QSzRn9Y"
"Kingdom Nails And Spa","kingdom-nails-and-spa","https://connorgorman.ca/r/kingdom-nails-and-spa","https://search.google.com/local/writereview?placeid=ChIJu2ZejdKt0kwRGTI28ftChco"
"La Bella Beauty Bar","la-bella-beauty-bar","https://connorgorman.ca/r/la-bella-beauty-bar","https://search.google.com/local/writereview?placeid=ChIJO0heh1Wq0kwRqHCCM6tQCvo"
"La Sirene Nails and Spa","la-sirene-nails-and-spa","https://connorgorman.ca/r/la-sirene-nails-and-spa","https://search.google.com/local/writereview?placeid=ChIJRYr4C5ur0kwRkp6XagPxGFA"
"Lan Nail & Spa","lan-nail-spa","https://connorgorman.ca/r/lan-nail-spa","https://search.google.com/local/writereview?placeid=ChIJ-xTVSoes0kwRTYjUdMP9xVU"
"Lily Nail & Spa","lily-nail-spa","https://connorgorman.ca/r/lily-nail-spa","https://search.google.com/local/writereview?placeid=ChIJYVfeV0as0kwR9hQ5Ms74G7o"
"Luxe Nails and Spa","luxe-nails-and-spa","https://connorgorman.ca/r/luxe-nails-and-spa","https://search.google.com/local/writereview?placeid=ChIJvfZsjyet0kwR_XlANfoYRJ0"
"Sol Spa","sol-spa","https://connorgorman.ca/r/sol-spa","https://search.google.com/local/writereview?placeid=ChIJdzabdf-q0kwR-nSDDvj8PlY"
"Solace Spa Kingston","solace-spa-kingston","https://connorgorman.ca/r/solace-spa-kingston","https://search.google.com/local/writereview?placeid=ChIJiYgPGqSt0kwRW--vsaF3T9o"
"Teddy Nails & Spa","teddy-nails-spa","https://connorgorman.ca/r/teddy-nails-spa","https://search.google.com/local/writereview?placeid=ChIJd1ZsIcGr0kwR19A8m34bbjA"
"TG.co Hair Studio","tg-co-hair-studio","https://connorgorman.ca/r/tg-co-hair-studio","https://search.google.com/local/writereview?placeid=ChIJ3WEb402s0kwRZCW6o1VlPSo"
"The Mane Obsession Ltd.","the-mane-obsession-ltd","https://connorgorman.ca/r/the-mane-obsession-ltd","https://search.google.com/local/writereview?placeid=ChIJj3fbuaWt0kwRNaxghZn57No"
"The Orchid - Massage & Wellness Centre","the-orchid-massage-wellness-centre","https://connorgorman.ca/r/the-orchid-massage-wellness-centre","https://search.google.com/local/writereview?placeid=ChIJCfQxexmt0kwRdA501_fyctM"
"Vecchio's Barber Shop","vecchios-barber-shop","https://connorgorman.ca/r/vecchios-barber-shop","https://search.google.com/local/writereview?placeid=ChIJC2fEbACr0kwRSjZSZbAnER0"
"Ashley's Esthetics Microblading","ashleys-esthetics-microblading","https://connorgorman.ca/r/ashleys-esthetics-microblading","https://search.google.com/local/writereview?placeid=ChIJXVIhqlWq0kwRtFPLI8OcA3I"
"Blunt Hair Studio","blunt-hair-studio","https://connorgorman.ca/r/blunt-hair-studio","https://search.google.com/local/writereview?placeid=ChIJqyFSv_iq0kwR3UyVyxV01z0"
"Danimarie Aesthetics","danimarie-aesthetics","https://connorgorman.ca/r/danimarie-aesthetics","https://search.google.com/local/writereview?placeid=ChIJoYRnAnOr0kwRgrh9lrGbT60"
"Deep Rooted Massage - Kingston","deep-rooted-massage-kingston","https://connorgorman.ca/r/deep-rooted-massage-kingston","https://search.google.com/local/writereview?placeid=ChIJz_7KFuOt0kwRXCc8HT7woQo"
"Echelon Wellness Kingston","echelon-wellness-kingston","https://connorgorman.ca/r/echelon-wellness-kingston","https://search.google.com/local/writereview?placeid=ChIJnUUygBat0kwRknq0qED28Qo"
"Elevation Hair Studio","elevation-hair-studio","https://connorgorman.ca/r/elevation-hair-studio","https://search.google.com/local/writereview?placeid=ChIJGYxh2l-t0kwR141BTIkUNpY"
"Euphoria Hair Lounge","euphoria-hair-lounge","https://connorgorman.ca/r/euphoria-hair-lounge","https://search.google.com/local/writereview?placeid=ChIJJZ0m0Bqr0kwRz3rRfUwcX14"
"Full Circle Health Network","full-circle-health-network","https://connorgorman.ca/r/full-circle-health-network","https://search.google.com/local/writereview?placeid=ChIJYdFuyP-q0kwRQ5GIarOX1o0"
"KING BARBERSHOP","king-barbershop","https://connorgorman.ca/r/king-barbershop","https://search.google.com/local/writereview?placeid=ChIJsdEUbACr0kwRkKHpDCa9ml0"
"Level Up Barber Studio","level-up-barber-studio","https://connorgorman.ca/r/level-up-barber-studio","https://search.google.com/local/writereview?placeid=ChIJV7TABn-t0kwRdwO5ZE5hLQM"
"Mercury Massage Therapy","mercury-massage-therapy","https://connorgorman.ca/r/mercury-massage-therapy","https://search.google.com/local/writereview?placeid=ChIJeWGjVTKs0kwR-Ic5JAP4rbI"
"New Path Spa By Magda","new-path-spa-by-magda","https://connorgorman.ca/r/new-path-spa-by-magda","https://search.google.com/local/writereview?placeid=ChIJSxnDzlas0kwR8XxZMamKOGE"
"ODC Medispa Kingston","odc-medispa-kingston","https://connorgorman.ca/r/odc-medispa-kingston","https://search.google.com/local/writereview?placeid=ChIJj32wcXGt0kwRhhKc41ESn-s"
"Saigon Nails & Spa","saigon-nails-spa","https://connorgorman.ca/r/saigon-nails-spa","https://search.google.com/local/writereview?placeid=ChIJX7bcNQCt0kwRapHyqSD7v2c"
"Studio Queen","studio-queen","https://connorgorman.ca/r/studio-queen","https://search.google.com/local/writereview?placeid=ChIJ_TXo1xar0kwRREP6LJ7D5l0"
"Sweet Magnolia day spa","sweet-magnolia-day-spa","https://connorgorman.ca/r/sweet-magnolia-day-spa","https://search.google.com/local/writereview?placeid=ChIJT870Y9W10kwRR1ZpRGhHFNw"
"The Annex Spa","the-annex-spa","https://connorgorman.ca/r/the-annex-spa","https://search.google.com/local/writereview?placeid=ChIJ_Tz-NRSp0kwRRjArNEKEAdA"
"The Hair + Extension Room","the-hair-extension-room","https://connorgorman.ca/r/the-hair-extension-room","https://search.google.com/local/writereview?placeid=ChIJxdHPSPnOFCMRpARL-LTwNMs"
"The Live Well Centre","the-live-well-centre","https://connorgorman.ca/r/the-live-well-centre","https://search.google.com/local/writereview?placeid=ChIJcak2QFWq0kwREe81Pq_4QPI"
"The Refinery Spa and Social House","the-refinery-spa-and-social-house","https://connorgorman.ca/r/the-refinery-spa-and-social-house","https://search.google.com/local/writereview?placeid=ChIJYSYusvSr0kwRNLC5H9VdyTw"
"Total Diva Boutique Spa","total-diva-boutique-spa","https://connorgorman.ca/r/total-diva-boutique-spa","https://search.google.com/local/writereview?placeid=ChIJXUk8kQCr0kwRhWgclwWvW2g"
